name,adm1_code,WHO_REGION,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED_PER100,PERSONS_BOOSTER_ADD_DOSE_PER100,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,31.345,28.83,27.018,0,11
Albania,ALB,EURO,104.6,47.108,44.561,13.059,5
Algeria,DZA,AFRO,34.817,17.879,14.78,1.313,4
American Samoa,ASM,WPRO,201.67,81.318,75.046,43.77,3
Andorra,AND,EURO,199.8,76.009,70.211,56.423,3
Angola,AGO,AFRO,70.508,43.269,23.776,3.43,1
Anguilla,AIA,AMRO,162.872,72.337,69.097,19.984,2
Antigua and Barbuda,ATG,AMRO,139.399,65.65,63.703,10.046,6
Argentina,ARG,AMRO,242.617,91.434,83.725,68.17,7
Armenia,ARM,EURO,72.6,38.123,33.268,1.374,8
Aruba,ABW,AMRO,162.81,84.306,78.504,0,2
Australia,AUS,WPRO,250.849,87.195,84.91,55.954,5
Austria,AUT,EURO,224.1,77.546,74.993,60.443,10
Azerbaijan,AZE,EURO,135.9,53.402,48.093,34.38,5
Bahamas,BHS,AMRO,92.521,44.207,42.039,8.509,4
Bahrain,BHR,EMRO,204.218,72.933,72.084,59.201,11
Bangladesh,BGD,SEARO,199.686,88.495,75.66,35.531,8
Barbados,BRB,AMRO,132.519,56.981,53.904,21.634,5
Belarus,BLR,EURO,172.8,68.919,67.685,38.446,4
Belgium,BEL,EURO,251.2,80.29,79.45,62.788,4
Belize,BLZ,AMRO,126.087,63.221,55.532,12.831,5
Benin,BEN,AFRO,30.475,26.473,22.212,0,5
Bermuda,BMU,AMRO,212.037,77.97,76.529,51.112,2
Bhutan,BTN,SEARO,260.68,90.605,87.826,82.249,5
Bolivia (Plurinational State of),BOL,AMRO,132.519,63.564,53.342,19.793,7
Bonaire,XAA,AMRO,198.599,83.481,76.113,39.005,0
Bonaire,BES,AMRO,137.934,73.533,64.401,0,2
Bosnia and Herzegovina,BIH,EURO,58.7,28.755,25.789,0,4
Botswana,BWA,AFRO,122.953,71.426,60.065,21.19,6
Brazil,BRA,AMRO,229.801,87.106,78.932,49.379,5
British Virgin Islands,VGB,AMRO,137.094,64.378,60.393,12.323,2
Brunei Darussalam,BRN,WPRO,293.044,102.928,101.899,77.382,5
Bulgaria,BGR,EURO,66,30.269,29.86,11.802,4
Burkina Faso,BFA,AFRO,19.474,14.73,12.718,0,3
Burundi,BDI,AFRO,0.221,0.205,0.2,0,1
Cabo Verde,CPV,AFRO,154.669,64.162,55.526,0.135,4
Cambodia,KHM,WPRO,267.621,91.035,87.222,61.744,7
Cameroon,CMR,AFRO,7.251,6.173,4.845,0.247,4
Canada,CAN,AMRO,240.503,86.169,82.609,51.422,5
Cayman Islands,CYM,AMRO,227.282,94.063,92.056,36.616,1
Central African Republic,CAF,AFRO,37.654,35.483,33.477,4.433,2
Chad,TCD,AFRO,23.669,22.826,22.05,0,1
Chile,CHL,AMRO,327.022,94.56,92.53,82.058,5
China,CHN,WPRO,235.301,88.868,86.818,54.604,8
Colombia,COL,AMRO,175.737,84.226,72.333,28.268,5
Comoros,COM,AFRO,96.023,50.463,45.662,0,3
Congo,COG,AFRO,15.1,12.609,11.854,0,4
Cook Islands,COK,WPRO,225.529,85.516,83.557,56.456,1
Costa Rica,CRI,AMRO,241.859,89.148,83.216,52.69,3
Ivoire,CIV,AFRO,78.051,48.076,34.937,4.712,5
Croatia,HRV,EURO,132,57.141,55.3,23.53,6
Cuba,CUB,AMRO,334.863,94.575,88.281,76.289,3
Cura??ao,CUW,AMRO,155.75,66.176,60.909,28.665,3
Cyprus,CYP,EURO,206.3,75.173,73.841,54.704,5
Czechia,CZE,EURO,172.6,65.168,64.375,40.673,7
Democratic Republic of the Congo,COD,AFRO,6.906,7.344,6.226,0,1
Denmark,DNK,EURO,257.8,82.661,82.435,63.109,5
Djibouti,DJI,EMRO,30.508,28.421,26.359,0,11
Dominica,DMA,AMRO,93.966,45.832,42.587,5.547,5
Dominican Republic,DOM,AMRO,146.061,67.225,55.875,22.961,3
Ecuador,ECU,AMRO,219.168,86.652,80.341,42.108,4
Egypt,EGY,EMRO,98.261,52.364,39.072,9.466,10
El Salvador,SLV,AMRO,173.453,71.459,66.752,28.483,6
Equatorial Guinea,GNQ,AFRO,34.836,19.252,15.255,0.328,2
Eritrea,ERI,AFRO,0,0,0,0,0
Estonia,EST,EURO,163.5,63.537,62.841,36.406,8
Eswatini,SWZ,AFRO,66.678,42.434,42.293,12.715,3
Ethiopia,ETH,AFRO,45.675,37.5,31.93,2.107,4
Falkland Islands (Malvinas),FLK,AMRO,269.595,92.449,85.444,73.012,1
Faroe Islands,FRO,EURO,212.614,85.368,83.69,43.557,2
Fiji,FJI,WPRO,172.458,79.287,71.329,18.777,3
Finland,FIN,EURO,233.4,82.231,78.899,55.253,5
France,FRA,EURO,227.4,79.716,77.477,60.473,6
French Guiana,GUF,AMRO,79.345,33.239,30.046,15.25,2
French Polynesia,PYF,WPRO,177.374,67.872,66.227,39.955,2
Gabon,GAB,AFRO,25.602,13.966,11.561,0.116,3
Gambia,GMB,AFRO,33.76,38.681,18.812,1.296,2
Georgia,GEO,EURO,68.3,32.465,29.603,6.236,4
Germany,DEU,EURO,226.9,77.929,78.04,62.464,9
Ghana,GHA,AFRO,66.95,38.671,28.807,8.094,2
Gibraltar,GIB,EURO,355.748,124.882,122.944,107.922,2
Greece,GRC,EURO,203,73.818,72.195,54.949,7
Greenland,GRL,EURO,140.465,72.647,67.819,0,1
Grenada,GRD,AMRO,80.434,39.263,34.637,6.534,5
Guadeloupe,GLP,AMRO,97.422,37.686,36.219,21.934,7
Guam,GUM,WPRO,218.094,91.972,83.551,42.738,3
Guatemala,GTM,AMRO,111.058,49.36,39.065,19.945,5
Guernsey,GGY,EURO,244.63,0,0,0,3
Guinea,GIN,AFRO,63.581,44.239,24.19,1.588,6
Guinea-Bissau,GNB,AFRO,34.202,32.54,20.54,0.038,2
Guyana,GUY,AMRO,120.995,62.65,48.24,9.598,7
Haiti,HTI,AMRO,4.468,3.488,2.076,0,2
Honduras,HND,AMRO,165.884,64.687,57.597,43.604,6
Hungary,HUN,EURO,169.1,65.062,62.948,39.558,8
Iceland,ISL,EURO,235.2,84.345,81.761,69.632,5
India,IND,SEARO,159.291,74.418,68.878,15.996,8
Indonesia,IDN,SEARO,162.038,75.047,62.932,24.059,7
Iran (Islamic Republic of),IRN,EMRO,184.175,77.501,69.639,37.035,12
Iraq,IRQ,EMRO,48.344,28.007,19.676,0.66,10
Ireland,IRL,EURO,234.9,83.929,80.678,60.949,5
